date,kospi,kosdaq,ex_rate,bond_trading_volume,base_money,m1,m2,total_bank_loan,kospi_r,kosdaq_r,ex_rate_r,bond_trading_volume_r,base_money_r,m1_r,m2_r,total_bank_loan_r
2016/01,95483140.01,70661685.52,1203.79,177558869,131279.3,699767.3,2261356.4,1349367,,,,,,,,
2016/02,82859217.79,56881183.9,1220.45,181811669,134913,708014,2285313.5,1354528.4,-13.22110083,-19.50208451,1.383962319,2.395149296,2.767915429,1.178491764,1.059412837,0.382505278
2016/03,97482610.32,68169972.8,1182.15,237667439,132957.9,713861.2,2294544.7,1357925.3,17.64848006,19.84626222,-3.138186734,30.72177397,-1.449156123,0.825859376,0.403935828,0.25078101
2016/04,94093322.39,68830756.5,1146.71,183800238,135038.9,720818.5,2299081.3,1365987.9,-3.476812853,0.969317825,-2.997927505,-22.66494781,1.565157091,0.974601225,0.197712426,0.593744
2016/05,100721933.8,69958800.44,1174.58,203300782,135971.3,722544.4,2312801.2,1376772.8,7.04472032,1.638866099,2.430431408,10.60964023,0.69046771,0.239436141,0.596755756,0.789531152
2016/06,109188478.1,82297097.45,1168.36,273548801,135758.4,730637.8,2334256.2,1386457.4,8.405859579,17.63651883,-0.529550988,34.55373772,-0.15657716,1.120124936,0.927662957,0.70342761
2016/07,88673533.8,85674990.08,1141.7,519958392,135906.7,735172.2,2352245.1,1390898,-18.78856146,4.104510039,-2.281830943,90.07884154,0.109238176,0.62060846,0.770648055,0.320283912
2016/08,96233319.92,76910850.59,1111.42,518827512,139073.9,738120.9,2377323.1,1400821.9,8.525414289,-10.22951912,-2.652185338,-0.217494326,2.330422268,0.401089704,1.066130396,0.713488696
2016/09,86379070.71,67508743.5,1106.77,305389335,142079.6,751408.5,2383040.5,1410607,-10.23995558,-12.22468223,-0.418383689,-41.13856187,2.161225075,1.800192895,0.24049739,0.69852563
2016/10,89664356.26,60950297.01,1127.65,332372898,141103.5,753367.3,2391059.2,1417969.6,3.803335144,-9.714958616,1.886570832,8.835790877,-0.687009254,0.260683769,0.336490295,0.521945517
2016/11,98079114.81,64426683.99,1163.22,198519884,141757.2,762639.7,2406393.5,1428869.9,9.384730904,5.703642399,3.154347537,-40.27193998,0.463276956,1.230794063,0.641318291,0.76872593
2016/12,73810634.35,62641630.9,1183.3,112248222,143458.7,776589.6,2414040.9,1433379.4,-24.74378006,-2.770673549,1.726242671,-43.45744127,1.200291766,1.829159956,0.317795074,0.315599062
2017/01,82234229.12,56170754.29,1182.24,162157038,147380.8,781441,2417807.6,1426342,11.41244055,-10.32999382,-0.089579988,44.46290116,2.733957578,0.624705765,0.156032982,-0.490965616
2017/02,89681628.18,56228293.79,1143.36,234231989,150092.9,776362.5,2420285.6,1429176.4,9.056325007,0.102436755,-3.288672351,44.44762428,1.840198995,-0.649889115,0.102489545,0.198718119
2017/03,110563641.2,66709799.51,1133.95,283007891,145049,789187.8,2436994.7,1432722.9,23.28460521,18.64098128,-0.823012874,20.82375777,-3.360518719,1.651973144,0.690377202,0.248149913
